MODULE,PROCEDURE,UNUSED VARIABLE/PROC
cDirectSCI,Global (Sub/Function),LineCut
cDirectSCI,Global (Sub/Function),LineDelete
cDirectSCI,Global (Sub/Function),LineDown
cDirectSCI,Global (Sub/Function),LineDownExtend
cDirectSCI,Global (Sub/Function),LineDownRectExtend
cDirectSCI,Global (Sub/Function),LineDuplicate
cDirectSCI,Global (Sub/Function),LineEndDisplay
cDirectSCI,Global (Sub/Function),LineEndDisplayExtend
cDirectSCI,Global (Sub/Function),LineEndExtend
cDirectSCI,Global (Sub/Function),LineEndRectExtend
cDirectSCI,Global (Sub/Function),LineEndWrap
cDirectSCI,Global (Sub/Function),LineEndWrapExtend
cDirectSCI,Global (Sub/Function),LineLength
cDirectSCI,Global (Sub/Function),LineScroll
cDirectSCI,Global (Sub/Function),LineScrollDown
cDirectSCI,Global (Sub/Function),LineScrollUp
cDirectSCI,Global (Sub/Function),LinesJoin
cDirectSCI,Global (Sub/Function),LinesOnScreen
cDirectSCI,Global (Sub/Function),LinesSplit
cDirectSCI,Global (Sub/Function),LineTranspose
cDirectSCI,Global (Sub/Function),LineUp
cDirectSCI,Global (Sub/Function),LineUpExtend
cDirectSCI,Global (Sub/Function),LineUpRectExtend
cDirectSCI,Global (Sub/Function),LoadLexerLibrary
cDirectSCI,Global (Sub/Function),LowerCase
cDirectSCI,Global (Sub/Function),MarkerAdd
cDirectSCI,Global (Sub/Function),MarkerAddSet
cDirectSCI,Global (Sub/Function),MarkerDefinePixmap
cDirectSCI,Global (Sub/Function),MarkerDelete
cDirectSCI,Global (Sub/Function),MarkerDeleteAll
cDirectSCI,Global (Sub/Function),MarkerDeleteHandle
cDirectSCI,Global (Sub/Function),MarkerGet
cDirectSCI,Global (Sub/Function),MarkerLineFromHandle
cDirectSCI,Global (Sub/Function),MarkerNext
cDirectSCI,Global (Sub/Function),MarkerPrevious
cDirectSCI,Global (Sub/Function),MoveCaretInsideView
cDirectSCI,Global (Sub/Function),NewLine
cDirectSCI,Global (Sub/Function),Nulls
cDirectSCI,Global (Sub/Function),PageDown
cDirectSCI,Global (Sub/Function),PageDownExtend
cDirectSCI,Global (Sub/Function),PageDownRectExtend
cDirectSCI,Global (Sub/Function),PageUp
cDirectSCI,Global (Sub/Function),PageUpExtend
cDirectSCI,Global (Sub/Function),PageUpRectExtend
cDirectSCI,Global (Sub/Function),ParaDown
cDirectSCI,Global (Sub/Function),ParaDownExtend
cDirectSCI,Global (Sub/Function),ParaUp
cDirectSCI,Global (Sub/Function),ParaUpExtend
cDirectSCI,Global (Sub/Function),PointXFromPosition
cDirectSCI,Global (Sub/Function),PointYFromPosition
cDirectSCI,Global (Sub/Function),RegisterImage
cDirectSCI,Global (Sub/Function),ReleaseDocument
cDirectSCI,Global (Sub/Function),ReplaceTargetRE
cDirectSCI,Global (Sub/Function),ScrollCaret
cDirectSCI,Global (Sub/Function),SearchAnchor
cDirectSCI,Global (Sub/Function),SearchNext
cDirectSCI,Global (Sub/Function),SearchPrev
cDirectSCI,Global (Sub/Function),SelectionDuplicate
cDirectSCI,Global (Sub/Function),SelectionIsRectangle
cDirectSCI,Global (Sub/Function),SetAnchor
cDirectSCI,Global (Sub/Function),SetBufferedDraw
cDirectSCI,Global (Sub/Function),SetCaretPeriod
cDirectSCI,Global (Sub/Function),SetCaretPolicy
cDirectSCI,Global (Sub/Function),SetCaretSticky
cDirectSCI,Global (Sub/Function),SetCharsDefault
cDirectSCI,Global (Sub/Function),SetCodePage
cDirectSCI,Global (Sub/Function),SetControlCharSymbol
cDirectSCI,Global (Sub/Function),SetCurrentPos
cDirectSCI,Global (Sub/Function),SetCursor
cDirectSCI,Global (Sub/Function),SetDocPointer
cDirectSCI,Global (Sub/Function),SetFoldExpanded
cDirectSCI,Global (Sub/Function),SetFoldFlags
cDirectSCI,Global (Sub/Function),SetFoldLevel
cDirectSCI,Global (Sub/Function),SetHighlightGuide
cDirectSCI,Global (Sub/Function),SetHotspotActiveBack
cDirectSCI,Global (Sub/Function),SetHotspotActiveFore
cDirectSCI,Global (Sub/Function),SetHotspotActiveUnderline
cDirectSCI,Global (Sub/Function),SetHotspotSingleLine
cDirectSCI,Global (Sub/Function),SetIndent
cDirectSCI,Global (Sub/Function),SetLayoutCache
cDirectSCI,Global (Sub/Function),SetLengthForEncode
cDirectSCI,Global (Sub/Function),SetLexerLanguage
cDirectSCI,Global (Sub/Function),SetLineState
cDirectSCI,Global (Sub/Function),SetMarginLeft
cDirectSCI,Global (Sub/Function),SetMarginMaskN
cDirectSCI,Global (Sub/Function),SetMarginRight
cDirectSCI,Global (Sub/Function),SetMarginSensitiveN
cDirectSCI,Global (Sub/Function),SetModEventMask
cDirectSCI,Global (Sub/Function),SetMouseDownCaptures
cDirectSCI,Global (Sub/Function),SetMouseDwellTime
cDirectSCI,Global (Sub/Function),SetPasteConvertEndings
cDirectSCI,Global (Sub/Function),SetPrintColourMode
cDirectSCI,Global (Sub/Function),SetPrintMagnification
cDirectSCI,Global (Sub/Function),SetPrintWrapMode
cDirectSCI,Global (Sub/Function),SetScrollWidth
cDirectSCI,Global (Sub/Function),SetSearchFlags
cDirectSCI,Global (Sub/Function),SetSelectionMode
cDirectSCI,Global (Sub/Function),SetStatus
cDirectSCI,Global (Sub/Function),SetStyling
cDirectSCI,Global (Sub/Function),SetStylingEx
cDirectSCI,Global (Sub/Function),SetTargetEnd
cDirectSCI,Global (Sub/Function),SetTargetStart
cDirectSCI,Global (Sub/Function),SetTwoPhaseDraw
cDirectSCI,Global (Sub/Function),SetUndoCollection
cDirectSCI,Global (Sub/Function),SetUsePalette
cDirectSCI,Global (Sub/Function),SetVisiblePolicy
cDirectSCI,Global (Sub/Function),SetWhitespaceBack
cDirectSCI,Global (Sub/Function),SetWhitespaceChars
cDirectSCI,Global (Sub/Function),SetWhitespaceFore
cDirectSCI,Global (Sub/Function),SetWordChars
cDirectSCI,Global (Sub/Function),SetWrapStartIndent
cDirectSCI,Global (Sub/Function),SetWrapVisualFlags
cDirectSCI,Global (Sub/Function),SetWrapVisualFlagsLocation
cDirectSCI,Global (Sub/Function),SetXCaretPolicy
cDirectSCI,Global (Sub/Function),SetXOffset
cDirectSCI,Global (Sub/Function),SetYCaretPolicy
cDirectSCI,Global (Sub/Function),SetZoom
cDirectSCI,Global (Sub/Function),ShowLines
cDirectSCI,Global (Sub/Function),StartRecord
cDirectSCI,Global (Sub/Function),StartStyling
cDirectSCI,Global (Sub/Function),StopRecord
cDirectSCI,Global (Sub/Function),StutteredPageDown
cDirectSCI,Global (Sub/Function),StutteredPageDownExtend
cDirectSCI,Global (Sub/Function),StutteredPageUp
cDirectSCI,Global (Sub/Function),StutteredPageUpExtend
cDirectSCI,Global (Sub/Function),StyleResetDefault
cDirectSCI,Global (Sub/Function),StyleSetCase
cDirectSCI,Global (Sub/Function),StyleSetChangeable
cDirectSCI,Global (Sub/Function),StyleSetCharacterSet
cDirectSCI,Global (Sub/Function),StyleSetHotSpot
cDirectSCI,Global (Sub/Function),TargetAsUTF8
cDirectSCI,Global (Sub/Function),TargetFromSelection
cDirectSCI,Global (Sub/Function),ToggleCaretSticky
cDirectSCI,Global (Sub/Function),ToggleFold
cDirectSCI,Global (Sub/Function),UpperCase
cDirectSCI,Global (Sub/Function),UserListShow
cDirectSCI,Global (Sub/Function),VCHome
cDirectSCI,Global (Sub/Function),VCHomeExtend
cDirectSCI,Global (Sub/Function),VCHomeRectExtend
cDirectSCI,Global (Sub/Function),VCHomeWrap
cDirectSCI,Global (Sub/Function),VCHomeWrapExtend
cDirectSCI,Global (Sub/Function),VisibleFromDocLine
cDirectSCI,Global (Sub/Function),WordEndPosition
cDirectSCI,Global (Sub/Function),WordLeft
cDirectSCI,Global (Sub/Function),WordLeftEnd
cDirectSCI,Global (Sub/Function),WordLeftEndExtend
cDirectSCI,Global (Sub/Function),WordLeftExtend
cDirectSCI,Global (Sub/Function),WordPartLeft
cDirectSCI,Global (Sub/Function),WordPartLeftExtend
cDirectSCI,Global (Sub/Function),WordPartRight
cDirectSCI,Global (Sub/Function),WordPartRightExtend
cDirectSCI,Global (Sub/Function),WordRight
cDirectSCI,Global (Sub/Function),WordRightEnd
cDirectSCI,Global (Sub/Function),WordRightEndExtend
cDirectSCI,Global (Sub/Function),WordRightExtend
cDirectSCI,Global (Sub/Function),WordStartPosition
cDirectSCI,Global (Sub/Function),WrapCount
cDirectSCI,Global (Sub/Function),ZoomIn
cDirectSCI,Global (Sub/Function),ZoomOut
iSubclass,Global (Sub/Function),WndProc
modComboAutoComplete,Global (Sub/Function),ComboDropdown
modComboAutoComplete,Global (Sub/Function),ComboDropWidth
modComboAutoComplete,Global (Sub/Function),ComboRetract
